Genes,ID
BMPR1B,8096511
BMPR2,8047538
BMS1,7927108
BNC1,7991080
BNC2,8160260
BNIP1,8110043
BNIP2,7989323
BNIP3,7937079
BNIP3L,8145454
BOC,8081686
BOK,8049876
BOLA1,7905092
BOLA3,8053059
BPGM,8136341
BPHL,8116635
BPNT1,7924388
BPTF,8009382
BRAP,7966427
BRCA1,8015769
BRCA2,7968484
BRCC3,8171006
BRD2,8118580
BRD2,8179504
BRD3,8164995
BRD4,8034983
BRD7,8001350
BRD8,8114365
BRD9,8110734
BRE,8041031
BRF1,7981573
BRF2,8150219
BRI3,8134454
BRIP1,8017262
BRMS1,7949603
BRMS1L,7973948
BRPF1,8077595
BRPF3,8119034
BRS3,8170159
BRSK1,8031441
BRSK2,7937667
BRWD1,8070341
BRWD3,8173766
BSDC1,7914530
BSG,8023955
BSN,8079759
BSPRY,8157300
BST1,8094228
BST2,8035304
BTAF1,7929201
BTBD1,7991057
BTBD10,7946680
BTBD11,7958352
BTBD2,8032380
BTBD3,8060988
BTBD6,7977340
BTBD7,7980998
BTBD8,7902965
BTBD9,8126121
BTC,8101002
BTD,8078147
BTF3,8106181
BTG1,7965423
BTG2,7908917
BTG3,8069565
BTG4,7951604
BTK,8174051
BTN1A1,8117498
BTN2A1,8117485
BTN2A2,8117447
BTN3A1,8117458
BTN3A2,8117435
BTN3A3,8117476
BTNL3,8110620
BTNL9,8110631
BTRC,7929958
BUB1,8054580
BUB1B,7982663
BUB3,7931187
BUD13,7951826
BUD31,8134589
BVES,8128553
BYSL,8119492
BZW1,8047339
BZW2,8131583
C10orf10,7933204
C10orf107,7927723
C10orf11,7928534
C10orf12,7929609
C10orf2,7929901
C10orf25,7933209
C10orf35,7928064
C10orf53,7927505
C10orf54,7934185
C10orf67,7932542
C10orf76,7935951
C10orf82,7936507
C10orf88,7936817
C10orf90,7936996
C10orf91,7931473
C11orf1,7943779
C11orf16,7946428
C11orf21,7945734
C11orf24,7949948
C11orf31,7940070
C11orf45,7952626
C11orf49,7939723
C11orf54,7943162
C11orf57,7943842
C11orf58,7938669
C11orf58,7978754
C11orf63,7944751
C11orf65,7951521
C11orf68,7949540
C11orf70,7943387
C11orf71,7951781
C11orf74,7939411
C11orf80,7941714
C12orf10,7955777
C12orf29,7957467
C12orf4,7960411
C12orf42,7965900
C12orf43,7967109
C12orf45,7958211
C12orf49,7966738
C12orf50,7965249
C12orf54,7955119
C12orf56,7964687
C12orf60,7954132
C12orf65,7959563
C14orf1,7980309
C14orf105,7979378
C14orf119,7973371
C14orf166,7974352
C14orf169,7975595
C14orf178,7975995
C14orf28,7974117
C14orf37,7979400
C14orf39,7979483
C14orf79,7977331
C14orf93,7977868
C15orf39,7984952
C15orf40,7991049
C15orf41,7982535
C15orf48,7983478
C15orf52,7987511
C15orf56,7987472
C16orf45,7993458
C16orf46,8002992
C16orf54,8000702
C16orf54,8003601
C16orf58,8001048
C16orf59,7992614
C16orf62,7993680
C16orf70,7996403
C16orf71,7993024
C16orf72,7993159
C16orf74,8003210
C16orf78,7995442
C16orf86,7996651
C17orf51,8013515
C17orf53,8007569
C17orf58,8017831
C17orf62,8019507
C17orf75,8014100
C17orf77,8009662
C17orf80,8009552
C18orf21,8020919
C18orf25,8021113
C18orf54,8021286
C18orf8,8020527
C19orf12,8035886
C19orf18,8039713
C19orf24,8024246
C19orf25,8032224
C19orf33,8028325
C19orf43,8034514
C19orf44,8026568
C19orf52,8025783
C19orf53,8026193
C19orf57,8034700
C19orf60,8027032
C1D,7932964
C1D,7934729
C1D,7934731
C1D,8052698
C1GALT1,8131475
C1GALT1C1,8174820
C1QA,7898793
C1QB,7898805
C1QBP,8011850
C1QC,7898799
